emotion,tweet
sad,It went really well! But the vid didnt work. im sad
excited,"Yes. Me too. I can't understand why they have to do that. I mean, I know it's all about Hollywood, but this thing is called love."
sad,missed my friggin hair appt!!!
sad,"Oh no, but that means that you won't be able to get pwned by my shottie this weekend"
love,"Goood Dayy Beeen shopping, didn't get what I wanted though But my best friend has comeeee homeeee!! XD Ily Shannii x"
worry,I want all the soldiers to come home so we don't have to hear about anymore being killed.
sad,"hillsong tom. night, and dad's birthday! i wish i could see him on his bday though."
excited,awwwwww i wish her to be safe while shes gone n hugs to u must of been hard to say goodbye
worry,31 degree centigrade is much hotter than 30 degree centigrade
neutral,http://twitpic.com/4xvw2 - I got chased by a male chihuahua that looked like he was pregnant today He was black and ...
excited,Cant wait to leave work
happy,Just got back from the doctor... I don't need surgery yayyy!!!!!! But my knees are still fucked not gonna get better
sad,didn't have time this morning to go all the way across town to take a pic (SO SAD)
worry,"Either way, that's unfortunate to hear Thanks you both for the head's up."
worry,I don't do very good at funerals. Crying is way 2 contagious for me
neutral,The video is set to private
worry,.I want all the soldiers to come home so we don't have to hear about anymore being killed.
worry,am little bit upset ppl is jerk-
worry,Pretty sure I'm sat on the wrong train going the wrong way... Bah!
sad,it because your handwriting isnt on any of them. and everyone is making fun of me because im sitting by myseld in the lrc
sad,. he's in bed sick. Heavy fever. Went to dr's. Part of the reason i'm watching Aladdin 2 now and still haven't been fed
neutral,"I don't get it, I was feeling fine yesterday. and now im a ball of sickness ! i hate the flu,"
worry,*taps shoulder* forgotten
worry,is stuck inside when its so nice outside
sad,sucks that i had to delete it
sad,FML i just spilled my entire can of diet coke IN MY LAP. yay
worry,"honestly, why did the folks at Microsoft do MS Word 2007 to me? I can't believe I just spent 10 minutes finding auto correct options"
happy,just done planting the garden...hope sun will shine soon!
worry,"Is feeling sick, probably a summer flu"
worry,http://twitpic.com/66z7a - I don't know why I always click on your doughnut pictures... lol I always end up wanting one
anger,Ughh. That Miley creature song has infested itself in my brain!
excited,where did the rain go??
sad,Wanting to leave work early today but stuff keeps accumulating. this Friday is so a Monday in disguise. lol
neutral,"Good morning nyc! If I weren't broke, I would have landed there yesterday afternoon."
neutral,"yeah but they had to come barcelona, because not all the fans can be in that concert COME BARCELONA! JESSI TE QUIERO"
sad,I hate taking lily to the doc to get shots. It makes me super sad
worry,Oh dear. Sunburned back
worry,yeah I need a hug...cuz I am sick..
worry,So apparently my dad thinks its ok to stalk my twitter. this has been the worst week ever. i hate my life.
excited,Dance Flick actually NOT that good!
worry,Still in meeting... I want some coffee right now cuz I didn't sleep well
worry,is frustrated by twitter...my picture will not load.
worry,the wheater here in Austria should be bad for the whole weekend. Sorry!
worry,I miss my cousin so much
worry,i couldnt respond cuz i maxed out
sad,I hate cat pee.
worry,Your video is set to private..
neutral,How did your book signing go? If I lived there I would've came!
sad,That sucks. I hope you find a new job soon
sad,The video is private.
worry,"I'm so confused about the weather, is it really gonna be sunny? or is it really gonna rain?"
excited,"Chinese Lunch Buffet: $4.50 - Add a soda $1.25 - Noticing the Health Inspection score of 81 as I walk out with my bag, Priceless ....."
sad,"WOW, got killed on first wave of Horde on Gears. FAIL"
worry,Creased my nikes!! ohh well... http://twitpic.com/66zfd
worry,I am working like allways. i hope i have a good day havent talked to my Mr.Goofy in over 24hours so that cant possiabally be good
sad,"just got back from NOM NOM's at our favourite restaurant here in Haarlem. I'm sad, I will miss eating there, the food is INCREDIBLE"
happy,almost done with my first day at the spa...I missed this place! Then headed to Fort Collins to close down casa de kent
excited,"BTW, for the record, can I just say I have waaay too many clothes. While packing, found a green boa &amp; a 22&quot; velvet and black corset."
worry,arrghh stupid eczema i have to go soon. sort it OUT! :/
worry,too late...now it just hurts.
sad,I worked at a car plant once..nobody believes me though. I repect all the hard workin folks in the world.
anger,I hate my life
anger,hates these khaki pants! project to do todayy
excited,I know it's against the law... I am a rebel in small things.
anger,Dear Allergies.. i hate you.. please go away...love always... your victim..
relief,"I send messages to greg all the time, no answer its ok I still love o &amp; a, goog luck with your move to Erie."
sad,i have runny nose... i can't breathe.. terrible feeling...
excited,4 more days until my birthday!!! I don't want to get older
neutral,Is working allll weeekend
worry,"iPhone today! I want to see The Morning Of in Virginia Beach, but I don't think I can get there"
worry,In A and E arts Stephani's horse fell on wet ground and she landed on her head
sad,"oh no, you're gonna have to break up w/your ups guy when you move"
worry,"i think thats what he is going for but he didnt have time to scan, do photo shop and stuff before work"
neutral,i am sorry i don't like girls ~that way
happy,awee!
sad,"Its sooooooooo not funny when I have to move from computer to computer to render and draw. Come on, Revit! AutoCAD was never this bad."
anger,i JUST fucking cleaned the whole kitchen....and the asshole comes home &amp; is going to make a mess of it...my mom didn't even get to see it
worry,tired but have a lot to do. Looking forward to tabletop gaming tomorrow as a break from my constant programming
happy,currently playing... part of the list
love,Beautiful day on Ocracoke just hope the thunderstorms stay away this afternoon...it's not looking good
sad,My peeps is coming from chi*twn today for the weekend to hang w me and i dont have any time always workin!
worry,"Follow Friday is such a burden for me, because I want to add everyone, and I always forget people."
anger,John making me wear a mask and gloves at work cause I'm sick. Says he doesn't want to catch swine flu. http://yfrog.com/02mxjj
love,lmao boss ross don't come on out here I love that man he was the truth
excited,"Wired mag needs to seriously chill out. I just renewed barely 3 months ago, yet they've already sent me 5 renewal letters for next year!"
worry,Cruising &quot;Serious Eats NY&quot; does not bode well for a future in GA. Missing NYC gastronomical tour.. http://newyork.seriouseats.com/
love,"Went to the hairdresser today, she cutted my hair off I loved my long hair! Dad said he couldn't even see I got a haircut! LAAAME"
neutral,make it go awayyyyy
neutral,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says &quot;Crackerack&quot;?"
anger,hut myself in the face with a hammer earlier by accident obviously it hurts.
sad,Bored and lonely at work
sad,The stratus is going bye bye today i loved that car in high school #fb
sad,Erm ovaj &quot;video twitter&quot; iz Tweetia ne radi. Niï¿½ta od microcastinga
worry,ran over a worm skating... poor wormie. but glad to be back.
anger,No gas PLUS no money = Desperation!!! and that's the word of the day! http://twitpic.com/66zls
sad,"the balance is ~$8,000. unfortunately i havent been able to find a card that has a limit high enough to transfer the whole thing"
neutral,He's getting ear tubes in about an hour so no food
relief,finally some effing internet! i effin need to update the wifi in SG malls. Idk how i miss dada and craigie......
excited,ah nick youï¿½ve set the vid to private do you not want everyone 2 see it or has it been a mistake?
happy,Might have to cancel our Disney trip this year. Not too thrilled about it.
worry,sorry to hear that
relief,Thanking god for after elton for allowing me to see the new TW trailer since work blocked youtube and lj
worry,apologies don't fix hurt feelings kev. anyway i'll get it from u next time I c u.
worry,"was mostly sick when she went to bed, but woke up feeling mostly dead"
sad,LA unified summer schools drastically cut due to CA budget cuts. Very sad
worry,"Yo, what happened to my invite?"
sad,oh no!! i wish i could lay out in the sun!! i have no garden...LOL
sad,I'm bored at work
worry,i really want some starbucks right now needing to find something to do tonight..
sad,OOC sorry we keep missing each other...
worry,"Hey, Maria! I'm so sorry! I think I accidentally disconnected you. Thank you SO much for trying. Headed to your site soon."
love,We've just 16ï¿½C today&amp;cold wind.. Want it 2b like 25ï¿½ to 30ï¿½! I love hot weather! But I reaped the 1st strawberry yday!
excited,I don't want Warren to die. He's an awesome character! I hate Clare she should fucking die once and for all.
neutral,Now i cant find him Gonna be a sleepless night tonight
love,"What about having one in TAMPA? I've been all excited to do the hunt, but I'm too far from any of those cities"
neutral,you're so far
happy,"Good am all..: hanging out with ma dad 2day, looking for a job still.."
